Company,Valuation,Category,Country,Funding,Investors
OrCam Technologies,1013,Other,Israel,77,"Intel Capital, Aviv Venture Capital"
Oscar Health,3200,Healthcare,United States of America,1268,"BoxGroup, Formation8, Khosla Ventures"
Otto Bock HealthCare,3520,Healthcare,Germany,704,EQT Partners
Outcome Health,5500,Healthcare,United States of America,500,"Goldman Sachs, capitalG, Pritzker Group Venture Capital"
OutSystems,1000,Internet Software & Services,Portugal,422,"KKR, ES Ventures, North Bridge Growth Equity"
OVH,1100,Data Analytics,France,1244,"Kohlberg Kravis Roberts & Co.,TowerBrook Capital Partners"
Oxford Nanopore Technologies,1550,Healthcare,United Kingdom,702,"Illumina, Invesco Perpetual, IP Group"
Oyo Rooms,5000,E-commerce,India,1553,"SoftBank Group, Sequoia Capital India,Lightspeed India Partners"
PagerDuty,1300,Internet Software & Services,United States of America,174,"Andreessen Horowitz, Harrison Metal, T. Rowe Price"
Palantir Technologies,12185,Data Analytics,United States of America,1944,"RRE Ventures, Founders Fund, In-Q-Tel"
Pat McGrath Labs,1000,E-commerce,United States of America,82,"One Luxury Group, Eurazeo"
Peloton,4150,Hardware,United States of America,1003,"True Ventures, Tiger Global Management, L Catterton"
Pinterest,10448,Social,United States of America,1466,"Andreessen Horowitz, Bessemer Venture Partners, Firstmark Capital"
Plaid Technologies,2650,Fintech,United States of America,310,"New Enterprise Associates, Spark Capital,"
PolicyBazaar,1000,Fintech,India,347,"Info Edge, Softbank Capital"
Pony.ai,1000,Auto Tech,United States of America,214,"Sequoia Capital China, IDG Capital, DCM Ventures"
Postmates,1850,On-Demand,United States of America,679,"Founders Fund, Matrix Partners, Tiger Global Management"
Preferred Networks,2000,Internet Software & Services,Japan,139,"Toyota Motor Corporation, Mizuho Financial Group, FANUC"
Procore Technologies,3000,Other,United States of America,255,"Bessemer Venture Partners, O'Connor Ventures, Iconiq Capital"
Promasidor Holdings,1593,Other,South Africa,556,"IFC, Ajinomoto"
Proteus Digital Health,1326,Healthcare,United States of America,417,"Novartis, Essex Woodlands, The Carlyle Group"
Quanergy Systems,2000,Auto Tech,United States of America,180,"Delphi Automotive, Samsung Ventures, Motus Ventures"
Quora,1743,Internet Software & Services,United States of America,226,"Y Combinator, Matrix Partners, Benchmark"
Radius Payment Solutions,1067,Internet Software & Services,United Kingdom,200,Inflexion Private Equity
Rappi,1000,On-Demand,Colombia,448,"DST Global, Andreessen Horowitz, Sequoia Capital, Redpoint e.ventures"
reddit,1625,Social,United States of America,250,"Y Combinator, Sequoia Capital, Coatue Management"
ReNew Power Ventures,2286,Other,India,2581,"Goldman Sachs, JERA, Asian Development Bank"
Revolut,1700,Fintech,United Kingdom,336,"index Ventures, DST Global, Ribbit Capital"
Revolution Precrafted,1000,Other,Philippines,15,"K2 Global, 500 Startups"
Robinhood,5600,Fintech,United States of America,539,"Google Ventures, Andreessen Horowitz, DST Global"
Roblox,2500,Internet Software & Services,United States of America,250,"Atlos Ventures, Index Ventures, First Round Capital"
Rocket Lab,1000,Other,United States of America,215,"Lockheed Martin, Khosla Ventures, Bessemer Venture Partners"
Roivant Sciences,7000,Healthcare,Switzerland,1300,"SoftBankGroup, Founders Fund"
Root Insurance,1000,Other,United States of America,164,"Tiger Global Management, Ribbit Capital, Redpoint Ventures"
Royole Corporation,5000,Hardware,China,1104,"Warmsun Holding, IDG Capital Partners"
Rubicon Global Holdings,1066,Other,United States of America,278,"Goldman Sachs, Leonardo DiCaprio, Promecap"
Rubrik,3300,Internet Software & Services,United States of America,553,"Greylock Partners, Lightspeed Venture Partners, Khosla Ventures"
Samsara Networks,3600,Hardware,United States of America,215,"Andreessen Horowitz, General Catalyst"
Samumed,12000,Healthcare,United States of America,438,"Vickers Venture Partners, IKEA GreenTech"
Seismic,1000,Internet Software & Services,United States of America,164,"Jackson Square Ventures, General Atlantic, Lightspeed Venture Partners"
SenseTime,4500,Internet Software & Services,China,1630,"Star VC, IDG Capital, Infore Capital, Alibaba Group"
ServiceTitan,1650,Internet Software & Services,United States of America,325,"Bessemer Venture Partners, ICONIQ Capital, Battery Ventures"
ShopClues,1100,E-commerce,India,290,"Nexus Venture Partners, GIC Special Investments, Tiger Global Management"
Slack Technologies,7100,Internet Software & Services,United States of America,1266,"Google Ventures, Institutional Venture Partners, Index Ventures"
SmileDirectClub,3200,Healthcare,United States of America,427,"Clayton Dubilier & Rice, Kleiner Perkins Caufield & Byers, Spark Capital"
SMS Assist,1000,Internet Software & Services,United States of America,255,"Goldman Sachs, Insights Venture Partners, Pritzker Group Venture Capital"
Snapdeal,7000,E-commerce,India,1776,"SoftBankGroup, Blackrock, Alibaba Group"
Snowflake Computing,3950,Internet Software & Services,United States of America,895,"Redpoint Ventures,Iconiq Capital, Madrona Venture Group"
SoFi,4498,E-commerce,United States of America,2194,"Baseline Ventures, DCM Ventures, Institutional Venture Partners"
SouChe Holdings,3000,Auto Tech,China,1213,"Morningside Ventures, Warburg Pincus, CreditEase Fintech Investment Fund"
SoundHound,1000,Media,United States of America,214,"Tencent Holdings, Walden Venture Capital, Global Catalyst Partnera"
SoYoung,1000,Social,China,233,"Orchid Asia Group Management, Russia-China Investment Fund, Matrix Partners China"
SpaceX,18520,Other,United States of America,2158,"Founders Fund, Draper Fisher Jurvetson, Rothenberg Ventures"
Sprinklr,1831,Internet Software & Services,United States of America,228,"Azure Capital Partners, Battery Ventures, Intel Capital"
Squarespace,1700,Internet Software & Services,United States of America,278,"General Atlantic, Index Ventures, Accel Partners"
Starry,1290,Internet Software & Services,United States of America,163,"Social Capital, Bessemer Venture Partners"
Stripe,20250,Fintech,United States of America,1001,"Khosla Ventures, Lowercase Capital, capitalG"
STX Entertainment,1500,Media,United States of America,700,"Tencent, TPG Growth, Hony Capital"
Supreme,1000,Other,United States of America,500,The Carlyle Group
sweetgreen,1000,Other,United States of America,322,"Red Sea Ventures, Fidelity Investments, Revolution"
Swiggy,3300,On-Demand,India,1466,"Accel India, SAIF Partners, Norwest Venture Partners"
Symphony Communication Services,1000,Internet Software & Services,United States of America,296,"BNP Paribas, Goldman Sachs, Google"
Talkdesk,1000,Internet Software & Services,United States of America,124,"DJF, Salesforce Ventures, Storm Ventures"
TangoMe,1000,Social,United States of America,373,"Draper Fisher Jurtson, Qualcomm Ventures, Alibaba Group"
Tanium,6500,Cybersecurity,United States of America,770,"Andreessen Horowitz, Nor-Cal Invest, TPG Growth"
Taxify,1000,On-Demand,Estonia,177,"Didi Chuxing, Diamler, TMT Investments"
TechStyle Fashion Group,1000,E-commerce,United States of America,300,"Matrix Partners, Passport Capital, Rho Ventures"
Tempus Labs,2000,Healthcare,United States of America,320,"New Enterprise Associates, T. Rowe Associates, Lightbank"
Ten-X,1200,Internet Software & Services,United States of America,142,"Stone Point Capital, Google Capital"
